audio_id,domain
YOU0000000315,"['Fantasy', 'Gaming', 'Adventure', 'Action', 'Mystery', 'Comedy', 'Drama', 'Thriller', 'Horror', 'Romance']"
AUD0000001043,"['Science Fiction', 'Survival', 'Adventure', 'Drama', 'Action', 'Thriller', 'Family', 'Comedy', 'Romance', 'Mystery']"
YOU0000000299,"['Web Accessibility', 'Assistive Technology', 'Keyboard Navigation', 'Screen Reader Accessibility', 'HTML5 Semantic Elements', 'Custom Interactive Controls', 'Focus Management', 'ARIA Attributes', 'Labeling', 'Testing']"
AUD0000000468,"[""Children's literature"", 'Fantasy', 'Adventure', 'Coming-of-age', 'Absurdism', 'Surrealism', 'Nonsense literature', 'Animal fiction', 'Fairy tale', 'Philosophical fiction']"
POD0000000192,"['Disability Rights Movement', 'Biography', 'History', 'Social Justice', 'Activism', 'Civil Rights', 'Architecture', 'Universal Design', 'Technology', 'Innovation']"
POD0000000480,"['Spirituality', 'Philosophy', 'Self-help', 'Science', 'Psychology', 'Biography', 'Education', 'Sociology', 'Ethics', 'Environment']"
POD0000000272,"['Nature and Wildlife', 'Urban Living', 'Environmentalism', 'Animal Behavior', 'City Planning', 'Humor', 'Journalism', 'Science and Technology', 'Food and Agriculture', 'Social Commentary']"
YOU0000000635,"['Science Education', 'Medical Science', 'Environmental Science', 'Technology', 'Career Development', 'Research Methodology', 'Mathematics Education', 'Public Health', 'Immunology', 'Genetics']"
POD0000000176,"['Geography', 'History', 'Art', 'Technology', 'Culture', 'Politics', 'Entertainment', 'Science', 'Travel', 'Sociology']"
POD0000000448,"['Neuroscience', 'Psychiatry', 'Epigenetics', 'Trauma Studies', 'Behavioral Science', 'Mental Health', 'Holocaust Studies', 'Genetics', 'Stress Management', 'Resilience']"
YOU0000000525,"['Chemistry', 'Science Education', 'Laboratory Techniques', 'Organic Chemistry', 'Experimental Procedures', 'Safety Protocols', 'Grignard Reactions', 'Alcohol Synthesis', 'Distillation Techniques', 'Chemical Purification']"
POD0000000320,"['Video game history', 'Technology innovation', 'American cultural history', 'Business and finance', 'Entertainment industry', 'Pop culture', 'Nostalgia', 'Marketing and advertising', 'Product development', 'Museum studies']"
YOU0000000491,"['Digital Marketing', 'Web Analytics', 'JavaScript Programming', 'Tag Management', 'Data Modeling', 'Event Tracking', 'Product Management', 'E-commerce', 'CSS Selectors', 'Social Media Marketing']"
YOU0000000363,"['Study Techniques', 'Law Education', 'Bar Exam Preparation', 'Learning Styles', 'Time Management', 'Test Taking Strategies', 'Memory Improvement', 'Focus and Concentration', 'Visual Learning', 'Auditory Learning']"
YOU0000000475,"['Programming tutorial', 'Web development', 'Machine learning', 'GitHub tutorial', 'Technology review', 'Product demonstration', 'Software development', 'Educational', 'How-to guide', 'Content creation']"
YOU0000000267,"['Software tutorial', 'Printing instructions', 'Excel tips and tricks', 'Productivity advice', 'Data management', 'Office software usage', 'Document formatting', 'Computer skills training', 'Business software training', 'Office productivity']"
YOU0000000509,"['Web development', 'Configuration management', 'Content management', 'Community involvement', 'Conference attendance', 'Testing', 'Version control', 'Automation', 'Drupal', 'Documentation']"
YOU0000000737,"['Cycling technology', 'Fitness tracking', 'Wearable technology', 'Sports equipment', 'Outdoor recreation', 'Bluetooth devices', 'GPS devices', 'Product reviews', 'Instructional videos', 'Technology accessories']"
AUD0000001381,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'Ghost story', 'Detective fiction', 'Paranormal', 'Gothic fiction', 'Psychological thriller', 'Occult']"
YOU0000000113,"['Online teaching techniques', 'Educational technology', 'Pedagogy', 'Video production', 'Remote learning', 'Accessibility', 'Open educational resources', 'Student engagement', 'Curriculum design', 'Professional development']"
YOU0000000719,"['Video Games', 'Technology History', 'Language History', 'Communication Technology', 'Internet Culture', 'Ancient History', 'Food History', 'Advertising History', 'Email Spam', 'Conspiracy Theories']"
YOU0000000703,"['Health and Wellness', 'Sleep Science', 'Medical Research', 'Public Health', 'Personal Development', 'Technology and Health', 'Chronobiology', 'Sleep Disorders', 'Sleep Hygiene', 'Circadian Rhythm']"
POD0000000048,"['Human Rights', 'Prison Reform', 'Architecture Ethics', 'Social Justice', 'Criminal Justice', 'Solitary Confinement', 'Torture', 'Death Penalty', 'Mental Health', 'Budgetary Pressure']"
POD0000000240,"['Military history', 'War and conflict', 'National identity', 'Family and relationships', 'Investigative journalism', 'Mystery and suspense', 'Patriotism', 'Government and politics', 'Human interest', 'Historical events']"
POD0000000432,"['Art and Photography', 'Literature and Poetry', 'Philosophy and Existentialism', 'Social and Political Issues', 'Identity and Belonging', 'Human Condition and Emotions', 'History and Memory', 'Hope and Resilience', 'Media and Journalism', 'Spirituality and Faith']"
POD0000000464,"['Yoga and Mind-Body Connection', 'Disability and Rehabilitation', 'Trauma and Healing', 'Body Acceptance and Self-Love', 'Death and Loss', 'Compassion and Empathy', 'Aging and Maturity', 'Physical Fitness and Strength', 'Philosophy and Metaphysics', 'Childhood and Innocence']"
POD0000000208,"['Architecture', 'Urban Planning', 'History', 'Engineering', 'Environmentalism', 'Infrastructure', 'Geography', 'Politics', 'Economics', 'Sociology']"
POD0000000416,"['Psychology', 'Healthcare', 'Memory', 'Aging', 'Writing', 'Spirituality', 'Identity', 'Mental Health', 'Family', 'Poetry']"
YOU0000000761,"['Self-improvement', 'Entrepreneurship', 'Interviews', 'Creativity', 'Motivational', 'Learning', 'Journalism', 'Humor', 'Philosophy', 'Productivity']"
YOU0000000049,"['Digital Marketing', 'SEO', 'Competitor Analysis', 'Keyword Research', 'Backlink Analysis', 'Content Marketing', 'Website Optimization', 'Technical SEO', 'SERP Analysis', 'Email Marketing']"
POD0000000031,"['History', 'Architecture', 'Home Improvement', 'Consumerism', 'Real Estate', 'Economics', 'Social History', 'American Culture', 'Housing Crisis', 'Community Building']"
YOU0000000395,"['Reality TV', 'Comedy', 'Drama', 'Romance', 'Satire', 'Health and Wellness', 'Social Commentary', 'Mystery', 'Science Fiction', 'Horror']"
YOU0000000685,"['Software Development Tutorial', 'Blazor Framework Tutorial', 'Syncfusion Blazor Component Tutorial', 'Web Development Tutorial', 'Data Grid Component Tutorial', 'Server-Side Blazor Tutorial', 'NuGet Package Manager Tutorial', 'C# Programming Tutorial', 'Visual Studio Code Tutorial', 'License Key Registration Tutorial']"
POD0000000080,"['Religious movements', 'Cults', 'Utopian societies', 'Biographical documentaries', 'True crime', 'Social experiments', 'Political corruption', 'Community building', 'Spirituality', 'Land use and zoning']"
YOU0000000577,"['E-commerce', 'Marketing', 'Product management', 'Business strategy', 'Online advertising', 'Social media marketing', 'Customer service', 'Logistics', 'Web design', 'Entrepreneurship']"
POD0000000336,"['Food and Agriculture', 'Economics and Business', 'Politics and Government', 'Labor and Employment', 'Technology and Innovation', 'History and Tradition', 'Immigration and Migration', 'Culture and Society', 'Environment and Climate', 'Media and Communication']"
YOU0000000081,"['Gaming', 'Horror', 'Comedy', 'Adventure', 'Action', 'Mystery', 'Thriller', 'Fantasy', 'Science Fiction', 'Animation']"
YOU0000000163,"['Makeup review', 'Beauty tutorial', 'Product testing', 'Cosmetics evaluation', 'Fashion and beauty', 'Youth culture', 'Online content creation', 'Consumer product review', 'Lifestyle vlogging', 'Beauty industry analysis']"
POD0000000144,"['History', 'African-American Studies', 'Geography', 'Environmentalism', 'Adventure Travel', 'Slavery', 'Resistance Movements', 'Colonialism', 'Autonomy', 'Racism']"
YOU0000000001,"['Gaming commentary', 'Obstacle course gameplay', 'Humor', 'Entertainment', 'Video game walkthrough', 'Action gameplay', 'Comedy', 'Online gaming', ""Let's Play"", 'Adventure gameplay']"
POD0000000015,"['Real Estate', 'Eminent Domain', 'Urban Development', 'Human Interest', 'History', 'Personal Finance', 'Architecture', 'Small Business', 'Healthcare', 'Music']"
YOU0000000459,"['Podcasts', 'Comedy', 'Education', 'News', 'True Crime', 'Social Media', 'Documentary', 'History', 'Politics', 'Literature']"
POD0000000352,"['Technology', 'Comedy', 'Entertainment', 'Interview', 'Investigative', 'Education', 'News', 'Science', 'Culture', 'Society']"
YOU0000000145,"['Health and Safety', 'Fashion', 'Technology', 'Entertainment', 'Education', 'Product Review', 'Advice', 'Humor', 'Social Commentary', 'Current Events']"
YOU0000000203,"['Action/Adventure', 'Science Fiction', 'Fantasy', 'Superhero', 'Thriller', 'Drama', 'Comedy', 'Family', 'Animation', 'Horror']"
POD0000000160,"['Urban Planning', 'Architecture', 'Transportation', 'History', 'Activism', 'City Governance', 'Cartography', 'Disaster Recovery', 'Real Estate', 'Journalism']"
POD0000000400,"['Graphic Design', 'Branding', 'Marketing', 'Advertising', 'Business', 'Banking', 'Television', 'Technology', 'Interviewing', 'Culture']"
POD0000000368,"['Design', 'Education', 'Branding', 'Media', 'Public Opinion', 'Marketing', 'Innovation', 'History', 'Politics', 'Technology']"
AUD0000000688,"['Religious teachings', 'Moral teachings', 'Spiritual guidance', 'Theology', 'Christianity', 'Salvation', 'Sin and redemption', 'Faith and belief', 'Life after death', 'Community and fellowship']"
POD0000000112,"[""History of San Francisco's Chinatown"", 'Urban Planning and Architecture', 'Immigration and Racism', 'Cultural Identity and Assimilation', 'Tourism and Cultural Appropriation', 'Food and Culinary History', 'Fortune Cookies and Americanization of Chinese Cuisine', 'Displacement and Gentrification', 'Natural Disasters and Rebuilding', 'Japanese-American Internment and its Impact on Chinese-American Businesses']"
YOU0000000541,"['Sales and Marketing', 'Copywriting', 'Customer Acquisition', 'Content Marketing', 'Conversion Optimization', 'E-commerce', 'Brand Building', 'Testimonials', 'Risk Management', 'Customer Relationship Management']"
YOU0000000129,"['Technical Instructions', 'Printer Setup', 'Troubleshooting', 'Computer Hardware', 'Software Configuration', 'User Interface', 'Printing', 'Mac OS', 'Application Integration', 'Paper Handling']"
YOU0000000557,"['YouTube video optimization', 'Content creation', 'Social media marketing', 'Search engine optimization', 'Video marketing', 'Mobile optimization', 'Trend following', 'Category selection', 'Keyword research', 'Subscriber engagement']"
POD0000000128,"['History', 'Culture', 'Geography', 'Technology', 'Music', 'Fashion', 'Archeology', 'Engineering', 'Travel', 'Design']"
YOU0000000427,"['Comedy', 'Everyday Life', 'Small Talk', 'Celebrity Gossip', 'Food and Cooking', 'Family Relationships', 'Humor', 'Pop Culture', 'Science Education', 'Traffic and Transportation']"
YOU0000000651,"['Social Media Marketing', 'Social Media Optimization', 'Social Media Advertising', 'Social Media Measurement', 'Digital Marketing', 'Advertising', 'Marketing Analytics', 'Event Marketing', 'Audience Targeting', 'Campaign Management']"
YOU0000000347,"['Film making tutorials', 'Color grading', 'Camera reviews', 'Vlogs', 'Online creator film school', 'Plug-ins', 'Career advice', 'Video editing', 'Content creation', 'Technology tutorials']"
POD0000000288,"['Sound design', 'Horror', 'True crime', 'Music production', 'Emotional storytelling', 'Aviation', 'Space exploration', 'Live performance', 'Relationships', 'Cinematic']"
YOU0000000097,"['Video games', 'Comedy', 'Improv', 'Gaming commentary', 'Friendship', 'Negotiation', 'Bullying', 'Pop culture', 'Money', 'Action']"
POD0000000096,"['True Crime', 'History', 'Urban Legends', 'Technology', 'City Planning', 'Documentary', 'Architecture', 'Local Culture', 'Nostalgia', 'Holiday Tradition']"
YOU0000000331,"['Technology', 'Tutorial', 'Software', 'Productivity', 'Music Production', 'Troubleshooting', 'Q&A', 'Demonstration', 'Educational', 'Entertainment']"
POD0000000224,"['Art', 'Entertainment', 'Culture', 'Innovation', 'Business', 'History', 'Technology', 'Marketing', 'Travel', 'Music']"
YOU0000000065,"['Comedy', 'Adventure', 'Surrealism', 'Action', 'Fantasy', 'Science Fiction', 'Thriller', 'Mystery', 'Horror', 'Drama']"
YOU0000000379,"['E-commerce', 'Marketing', 'Data analytics', 'Business strategy', 'Customer acquisition', 'Revenue optimization', 'Tracking and analysis', 'Automation', 'Customer journey mapping', 'Performance measurement']"
YOU0000000669,"['Comedy', 'Late-night talk show', 'Interview', 'Entertainment', 'Humor', 'Television', 'Stand-up comedy', 'Inclusivity', 'Honoring achievement', 'Self-improvement']"
YOU0000000593,"['Food and Cooking', 'Gaming', 'Comedy', 'Fast Food', 'Snacks', 'Entertainment', 'Humor', 'Pop Culture', 'Reviews', 'Lifestyle']"
YOU0000000283,"['Fitness tracking', 'Biking', 'Navigation', 'Mapping', 'Technology', 'Heart rate monitoring', 'Data analysis', 'Outdoor activities', 'Wireless connectivity', 'Performance tracking']"
YOU0000000443,"['Productivity', 'Organization', 'Note-taking', 'Software tutorial', 'Document editing', 'Section management', 'Collaboration', 'Task management', 'Workflow optimization', 'Information management']"
POD0000000304,"['Technology', 'Urban living', 'Transportation', 'Infrastructure', 'Engineering', 'Fashion', 'Consumerism', 'Maintenance', 'City planning', 'Humor']"
POD0000000384,"['Vexillology (study of flags)', 'Graphic design', 'Geography', 'Patriotism', 'Humor', 'Politics', 'History', 'Semiotics (study of symbols)', 'Anthropology', 'Sociology']"
POD0000000064,"['Social commentary', 'Political commentary', 'Transportation', 'Race relations', 'Advertising', 'Email marketing', 'Minority representation', 'Classism', 'Urban planning', 'Media sponsorship']"
